concept_code,string_type,string,question,options,correct_answer,final_question,type,unique_id
4,brand name,Verzenio,Which of the following is the brand name for the drug Abemaciclib?,"['Dacogen', 'Verzenio', 'Aqupla', 'Nidran']",Verzenio,"Which of the following is the brand name for the drug Abemaciclib?
Options: 1: Dacogen, 2: Verzenio, 3: Aqupla, 4: Nidran
Answer: ",brand,1
4,brand name,Verzenio,Which of the following is the brand name for the drug Abemaciclib?,"['Verzenio', 'Zevalin', 'Leustatin', 'Longastatina LAR']",Verzenio,"Which of the following is the brand name for the drug Abemaciclib?
Options: 1: Verzenio, 2: Zevalin, 3: Leustatin, 4: Longastatina LAR
Answer: ",brand,2
4,brand name,Verzenio,Which of the following is the brand name for the drug Abemaciclib?,"['Plenaxis', 'Sprycel', 'Zaltrap', 'Verzenio']",Verzenio,"Which of the following is the brand name for the drug Abemaciclib?
Options: 1: Plenaxis, 2: Sprycel, 3: Zaltrap, 4: Verzenio
Answer: ",brand,3
4,brand name,Verzenio,Which of the following is the brand name for the drug Abemaciclib?,"['Decapeptyl', 'Oncaspar', 'Verzenio', 'Marqibo']",Verzenio,"Which of the following is the brand name for the drug Abemaciclib?
Options: 1: Decapeptyl, 2: Oncaspar, 3: Verzenio, 4: Marqibo
Answer: ",brand,4
4,brand name,Verzenio,Which of the following is the brand name for the drug Abemaciclib?,"['TheraCys', 'Verzenio', 'Yescarta', 'Myocet']",Verzenio,"Which of the following is the brand name for the drug Abemaciclib?
Options: 1: TheraCys, 2: Verzenio, 3: Yescarta, 4: Myocet
Answer: ",brand,5
6,brand name,Abatitor,Which of the following is the brand name for the drug Abiraterone?,"['Colcrys', 'Nubeqa', 'Abatitor', 'AiRuiKa']",Abatitor,"Which of the following is the brand name for the drug Abiraterone?
Options: 1: Colcrys, 2: Nubeqa, 3: Abatitor, 4: AiRuiKa
Answer: ",brand,6
6,brand name,Abatitor,Which of the following is the brand name for the drug Abiraterone?,"['Antrypol', 'Teysuno', 'Enhertu', 'Abatitor']",Abatitor,"Which of the following is the brand name for the drug Abiraterone?
Options: 1: Antrypol, 2: Teysuno, 3: Enhertu, 4: Abatitor
Answer: ",brand,7
6,brand name,Abatitor,Which of the following is the brand name for the drug Abiraterone?,"['Abatitor', 'Eldesine', 'Provenge', 'Copiktra']",Abatitor,"Which of the following is the brand name for the drug Abiraterone?
Options: 1: Abatitor, 2: Eldesine, 3: Provenge, 4: Copiktra
Answer: ",brand,8
6,brand name,Abatitor,Which of the following is the brand name for the drug Abiraterone?,"['Epidaza', 'Actimid', 'Abatitor', 'Hexalen']",Abatitor,"Which of the following is the brand name for the drug Abiraterone?
Options: 1: Epidaza, 2: Actimid, 3: Abatitor, 4: Hexalen
Answer: ",brand,9
6,brand name,Abatitor,Which of the following is the brand name for the drug Abiraterone?,"['Pravachol', 'Epidaza', 'Zelboraf', 'Abatitor']",Abatitor,"Which of the following is the brand name for the drug Abiraterone?
Options: 1: Pravachol, 2: Epidaza, 3: Zelboraf, 4: Abatitor
Answer: ",brand,10
