Temperature,Question Category,Preferred,Brand,No Choice
0_0,effective,119,131,117
0_0,safe,131,130,106
0_0,associated with side effects,117,131,119
0_0,likely to make me sick,121,123,123
0_5,effective,119,131,117
0_5,safe,131,130,106
0_5,associated with side effects,117,131,119
0_5,likely to make me sick,121,123,123
1_0,effective,119,131,117
1_0,safe,131,130,106
1_0,associated with side effects,117,131,119
1_0,likely to make me sick,121,123,123
2_0,effective,119,131,117
2_0,safe,131,130,106
2_0,associated with side effects,117,131,119
2_0,likely to make me sick,121,123,123
