engine,temp,term,count,type
gpt-3.5-turbo-0613,0.0,safe,395,brand
gpt-3.5-turbo-0613,0.5,safe,406,brand
gpt-3.5-turbo-0613,1.0,safe,399,brand
gpt-3.5-turbo-0613,2.0,safe,400,brand
gpt-3.5-turbo-0613,0.0,unsafe,424,brand
gpt-3.5-turbo-0613,0.5,unsafe,413,brand
gpt-3.5-turbo-0613,1.0,unsafe,414,brand
gpt-3.5-turbo-0613,2.0,unsafe,413,brand
gpt-3.5-turbo-0613,0.0,safe,371,preferred
gpt-3.5-turbo-0613,0.5,safe,360,preferred
gpt-3.5-turbo-0613,1.0,safe,363,preferred
gpt-3.5-turbo-0613,2.0,safe,363,preferred
gpt-3.5-turbo-0613,0.0,unsafe,342,preferred
gpt-3.5-turbo-0613,0.5,unsafe,353,preferred
gpt-3.5-turbo-0613,1.0,unsafe,348,preferred
gpt-3.5-turbo-0613,2.0,unsafe,350,preferred
