Model,String Type,Question Type,Temp 0.0,Temp 0.7,Temp 1.0
gpt-3.5-turbo-0125,brand,about,0.67,0.68,0.69
gpt-3.5-turbo-0125,brand,patient,0.87,0.89,0.90
gpt-3.5-turbo-0125,brand,physician,0.85,0.87,0.89
gpt-3.5-turbo-0125,preferred,about,0.95,0.95,0.93
gpt-3.5-turbo-0125,preferred,patient,0.98,0.98,0.99
gpt-3.5-turbo-0125,preferred,physician,0.97,0.99,0.97
gpt-4-turbo,brand,about,0.96,0.97,0.93
gpt-4-turbo,brand,patient,0.99,0.98,0.99
gpt-4-turbo,brand,physician,1.00,1.00,0.99
gpt-4-turbo,preferred,about,0.98,0.99,0.98
gpt-4-turbo,preferred,patient,1.00,0.99,1.00
gpt-4-turbo,preferred,physician,0.99,1.00,1.01
gpt-4o,brand,about,0.93,0.93,0.93
gpt-4o,brand,patient,0.98,0.99,0.98
gpt-4o,brand,physician,1.00,1.01,1.00
gpt-4o,preferred,about,1.00,0.99,0.99
gpt-4o,preferred,patient,1.00,1.00,1.00
gpt-4o,preferred,physician,1.00,1.01,1.01
